City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Rainfall in. (last 3 hrs.),Snowfall in. (last 3 hrs.)
127,Vangaindrano,MG,2019-11-08 01:24:49,-23.35,47.6,68.32,92,31,5.23,scattered clouds,0.0,0.0
128,Mbuji-Mayi,CD,2019-11-08 01:24:50,-6.13,23.6,70.57,87,98,0.72,overcast clouds,0.0,0.0
129,Punta Arenas,CL,2019-11-08 01:24:50,-53.16,-70.91,39.34,75,76,12.93,light rain,0.31,0.0
130,Bredasdorp,ZA,2019-11-08 01:24:51,-34.53,20.04,50.0,87,0,5.82,clear sky,0.0,0.0
131,Houma,CN,2019-11-08 01:20:25,35.63,111.36,46.6,77,8,4.16,clear sky,0.0,0.0
132,Talnakh,RU,2019-11-08 01:24:51,69.49,88.39,-9.41,76,100,15.66,overcast clouds,0.0,0.0
133,Les Cayes,HT,2019-11-08 01:24:51,18.19,-73.75,83.75,74,0,10.18,clear sky,0.0,0.0
134,Narsaq,GL,2019-11-08 01:24:51,60.91,-46.05,42.8,30,100,26.4,overcast clouds,0.0,0.0
135,Misratah,LY,2019-11-08 01:24:52,32.38,15.09,69.8,61,47,11.56,light rain,0.13,0.0
136,Sakaiminato,JP,2019-11-08 01:24:52,35.55,133.23,62.6,48,20,16.11,few clouds,0.0,0.0
137,Busselton,AU,2019-11-08 01:24:52,-33.64,115.35,58.6,68,0,15.46,clear sky,0.0,0.0
138,Guadalupe Y Calvo,MX,2019-11-08 01:24:52,26.09,-106.96,58.26,87,99,1.77,light rain,2.13,0.0
139,Grindavik,IS,2019-11-08 01:24:53,63.84,-22.43,37.4,93,75,20.8,light intensity shower rain,0.0,0.0
140,Jijiga,ET,2019-11-08 01:24:53,9.35,42.8,60.12,68,13,2.42,few clouds,0.0,0.0
141,Hanting,CN,2019-11-08 01:24:53,30.92,118.55,55.58,79,0,8.25,clear sky,0.0,0.0
142,Banfora,BF,2019-11-08 01:24:53,10.64,-4.75,78.22,59,0,2.64,clear sky,0.0,0.0
143,Touros,BR,2019-11-08 01:24:54,-5.2,-35.46,78.8,74,20,9.17,few clouds,0.0,0.0
144,Ust-Koksa,RU,2019-11-08 01:24:54,50.27,85.62,8.64,92,34,8.48,scattered clouds,0.0,0.0
145,Warri,NG,2019-11-08 01:24:54,5.52,5.75,76.03,96,81,2.64,broken clouds,0.0,0.0
146,Ixtapa,MX,2019-11-08 01:24:54,20.71,-105.21,86.0,74,90,2.57,overcast clouds,0.0,0.0
147,Terra Santa,BR,2019-11-08 01:24:55,-2.1,-56.49,84.7,50,43,1.25,scattered clouds,0.0,0.0
148,New Bedford,US,2019-11-08 01:24:55,41.64,-70.93,57.2,87,90,6.93,moderate rain,0.0,0.0
149,Puri,ID,2019-11-08 01:24:55,-7.54,112.45,81.16,68,48,1.97,scattered clouds,0.0,0.0
150,Ostrovnoy,RU,2019-11-08 01:24:55,68.05,39.51,15.98,95,97,8.1,overcast clouds,0.0,0.0
151,Skjervoy,NO,2019-11-08 01:24:56,70.03,20.97,25.95,66,0,11.48,clear sky,0.0,0.0
152,Ketchikan,US,2019-11-08 01:24:56,55.34,-131.65,51.8,81,90,13.87,moderate rain,0.0,0.0
153,Manavalakurichi,IN,2019-11-08 01:24:56,8.13,77.3,78.8,94,20,2.24,mist,0.0,0.0
154,Bethel,US,2019-11-08 01:22:51,60.79,-161.76,30.2,92,90,16.11,light rain,0.0,0.0
155,Iqaluit,CA,2019-11-08 01:24:56,63.75,-68.52,15.8,78,90,16.11,overcast clouds,0.0,0.0
156,Chamlykskaya,RU,2019-11-08 01:24:57,44.72,40.87,53.89,41,80,7.83,broken clouds,0.0,0.0
157,Banepa,NP,2019-11-08 01:24:57,27.63,85.52,55.4,100,40,2.71,mist,0.0,0.0
158,Avarua,CK,2019-11-08 01:24:57,-21.21,-159.78,78.8,65,93,13.87,overcast clouds,0.0,0.0
159,Saldanha,PT,2019-11-08 01:24:58,41.42,-6.55,38.3,90,85,8.57,overcast clouds,0.0,0.0
160,Ribeira Grande,PT,2019-11-08 01:24:58,38.52,-28.7,62.6,78,67,2.75,broken clouds,0.0,0.0
161,Kisangani,CD,2019-11-08 01:24:58,0.52,25.21,70.25,98,100,1.77,overcast clouds,0.0,0.0
162,Illapel,CL,2019-11-08 01:24:58,-31.63,-71.17,56.86,49,0,2.39,clear sky,0.0,0.0
163,Barrow,AR,2019-11-08 01:24:58,-38.31,-60.23,46.96,74,56,6.46,broken clouds,0.0,0.0
164,Jining,CN,2019-11-08 01:24:59,35.41,116.58,49.95,57,67,7.63,broken clouds,0.0,0.0
165,Kaitangata,NZ,2019-11-08 01:24:59,-46.28,169.85,58.35,60,0,9.89,clear sky,0.0,0.0
166,East London,ZA,2019-11-08 01:24:59,-33.02,27.91,63.9,62,35,19.42,scattered clouds,0.0,0.0
167,Ughelli,NG,2019-11-08 01:24:59,5.49,6.0,76.03,96,81,2.64,broken clouds,0.0,0.0
168,Codrington,AU,2019-11-08 01:25:00,-28.95,153.24,96.8,9,0,14.99,clear sky,0.0,0.0
169,Ballina,IE,2019-11-08 01:25:00,54.11,-9.15,38.8,91,36,4.7,scattered clouds,0.0,0.0
170,Bastia,IT,2019-11-08 01:25:00,44.6,8.98,53.6,81,75,4.7,broken clouds,0.0,0.0
171,Cabo San Lucas,MX,2019-11-08 01:25:00,22.89,-109.91,80.6,74,90,4.7,overcast clouds,0.0,0.0
172,Neckargemund,DE,2019-11-08 01:25:01,49.39,8.79,38.82,94,100,2.24,overcast clouds,0.0,0.0
173,Bambous Virieux,MU,2019-11-08 01:25:01,-20.34,57.76,75.2,78,40,12.75,shower rain,0.0,0.0
174,Pisco,PE,2019-11-08 01:25:01,-13.71,-76.2,64.4,82,0,14.99,clear sky,0.0,0.0
175,Kabakovo,RU,2019-11-08 01:25:02,54.54,56.15,44.6,65,75,17.9,broken clouds,0.0,0.0
176,Fort-Shevchenko,KZ,2019-11-08 01:25:02,44.51,50.26,46.13,69,0,6.04,clear sky,0.0,0.0
177,Sitka,US,2019-11-08 01:25:02,37.17,-99.65,39.2,28,21,4.74,few clouds,0.0,0.0
178,Carnarvon,ZA,2019-11-08 01:25:02,-30.97,22.13,50.52,59,0,12.3,clear sky,0.0,0.0
179,Karasjok,NO,2019-11-08 01:25:03,69.47,25.52,17.6,92,73,4.7,broken clouds,0.0,0.0
180,Kahului,US,2019-11-08 01:25:03,20.89,-156.47,82.4,69,40,14.99,scattered clouds,0.0,0.0
181,Bubaque,GW,2019-11-08 01:25:03,11.28,-15.83,83.39,68,26,10.42,scattered clouds,0.0,0.0
182,Sao Filipe,CV,2019-11-08 01:25:03,14.9,-24.5,74.62,81,100,18.05,overcast clouds,0.0,0.0
183,Soubre,CI,2019-11-08 01:25:04,5.79,-6.61,72.61,99,84,1.57,broken clouds,0.0,0.0
184,Srandakan,ID,2019-11-08 01:25:04,-7.94,110.25,77.2,72,22,4.61,few clouds,0.0,0.0
185,Quelimane,MZ,2019-11-08 01:25:04,-17.88,36.89,78.8,78,1,9.17,clear sky,0.0,0.0
186,Hay River,CA,2019-11-08 01:25:04,60.82,-115.79,14.0,85,75,3.36,broken clouds,0.0,0.0
187,Paranhos,PY,2019-11-08 01:25:04,-23.89,-55.43,72.19,99,100,3.06,moderate rain,9.13,0.0
188,Split,HR,2019-11-08 01:20:25,43.51,16.44,57.2,62,65,8.05,broken clouds,0.0,0.0
189,Kuusamo,FI,2019-11-08 01:23:54,65.96,29.19,19.4,92,90,4.7,overcast clouds,0.0,0.0
190,Rio Gallegos,AR,2019-11-08 01:25:05,-51.62,-69.22,41.0,64,20,20.8,few clouds,0.0,0.0
191,Ilulissat,GL,2019-11-08 01:25:05,69.22,-51.1,30.2,36,54,14.99,broken clouds,0.0,0.0
192,Sinnamary,GF,2019-11-08 01:25:06,5.38,-52.96,82.27,82,52,15.66,broken clouds,0.0,0.0
193,Bundaberg,AU,2019-11-08 01:25:06,-24.87,152.35,87.8,35,0,14.99,clear sky,0.0,0.0
194,Castro,CL,2019-11-08 01:25:06,-42.48,-73.76,38.41,92,26,2.59,scattered clouds,0.0,0.0
195,Atar,MR,2019-11-08 01:25:06,20.52,-13.05,69.39,29,14,3.89,few clouds,0.0,0.0
196,Ponta Do Sol,BR,2019-11-08 01:25:06,-20.63,-46.0,72.27,84,90,1.05,light rain,2.38,0.0
197,Souillac,FR,2019-11-08 01:25:07,45.6,-0.6,46.4,87,55,20.8,light rain,1.94,0.0
198,Nikel,NO,2019-11-08 01:25:07,69.41,30.21,15.8,92,100,8.05,overcast clouds,0.0,0.0
