City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
124,Flinders,AU,2019-11-08 20:22:33,-34.58,150.85,55.0,53,23,12.75
125,Bakchar,RU,2019-11-08 20:22:34,57.02,82.07,17.74,81,100,11.48
126,Saint George,GR,2019-11-08 20:21:25,39.45,22.34,57.2,93,20,5.35
127,Sitka,US,2019-11-08 20:22:34,37.17,-99.65,61.0,49,0,11.99
128,Jinchang,CN,2019-11-08 20:22:34,38.52,102.19,36.09,46,88,9.48
129,Belmonte,PT,2019-11-08 20:22:34,40.36,-7.35,48.99,87,0,4.74
130,Atuona,PF,2019-11-08 20:22:35,-9.8,-139.03,80.17,78,7,15.55
131,Hilo,US,2019-11-08 20:22:35,19.71,-155.08,84.2,54,1,6.93
132,Kaeo,NZ,2019-11-08 20:22:35,-35.1,173.78,69.01,100,73,16.28
133,Kotka,FI,2019-11-08 20:22:36,60.47,26.95,32.0,87,90,9.17
134,Dakar,SN,2019-11-08 20:19:52,14.69,-17.45,75.2,73,96,17.22
135,Kavaratti,IN,2019-11-08 20:22:36,10.57,72.64,81.16,71,24,6.93
136,Cayenne,GF,2019-11-08 20:22:36,4.94,-52.33,82.4,83,75,9.17
137,Castro,CL,2019-11-08 20:22:36,-42.48,-73.76,59.0,58,31,9.17
138,Tiksi,RU,2019-11-08 20:22:37,71.64,128.87,-16.33,90,100,6.35
139,Khatanga,RU,2019-11-08 20:22:37,71.98,102.47,-8.18,96,100,18.75
140,Mezen,RU,2019-11-08 20:22:37,65.85,44.24,16.18,91,100,7.63
141,Sao Joao Da Barra,BR,2019-11-08 20:22:37,-21.64,-41.05,82.4,65,75,17.22
142,Saint Anthony,US,2019-11-08 20:22:38,43.97,-111.68,53.6,37,1,5.82
143,Dunedin,NZ,2019-11-08 20:22:38,-45.87,170.5,69.01,41,94,8.99
144,Bawku,GH,2019-11-08 20:22:38,11.06,-0.24,86.56,29,0,5.77
145,Tuatapere,NZ,2019-11-08 20:22:38,-46.13,167.69,57.0,95,100,1.99
146,New Norfolk,AU,2019-11-08 20:22:39,-42.78,147.06,44.6,81,75,13.87
147,Alice Springs,AU,2019-11-08 20:22:39,-23.7,133.88,66.2,37,0,13.87
148,Bilibino,RU,2019-11-08 20:22:39,68.06,166.44,2.57,78,49,2.55
149,Parrita,CR,2019-11-08 20:22:39,9.52,-84.33,78.8,64,75,14.99
150,Bozhou,CN,2019-11-08 20:22:39,33.86,115.78,52.25,72,0,4.41
151,Haines Junction,CA,2019-11-08 20:22:40,60.75,-137.51,22.41,93,97,8.1
152,Garachine,PA,2019-11-08 20:22:40,8.06,-78.36,82.71,77,66,8.01
153,Tual,ID,2019-11-08 20:22:40,-5.67,132.75,81.28,81,100,6.15
154,Mandalgovi,MN,2019-11-08 20:22:41,45.76,106.27,30.97,77,100,16.6
155,Whitehorse,CA,2019-11-08 20:22:36,60.72,-135.06,24.01,79,90,10.29
156,Karratha,AU,2019-11-08 20:22:41,-20.74,116.85,79.54,58,100,11.27
157,Yellowknife,CA,2019-11-08 20:22:41,62.45,-114.38,12.99,78,40,11.41
158,Muli,CN,2019-11-08 20:22:42,28.08,109.56,51.06,69,44,3.18
159,Jardim,BR,2019-11-08 20:22:42,-21.48,-56.15,91.54,42,47,5.3
160,Katangli,RU,2019-11-08 20:22:42,51.71,143.23,17.15,78,75,12.06
161,Port Elizabeth,US,2019-11-08 20:22:42,39.31,-74.98,44.6,28,1,12.75
162,Alofi,NU,2019-11-08 20:22:42,-19.06,-169.92,80.6,74,75,12.75
163,Waddan,LY,2019-11-08 20:22:43,29.16,16.14,68.76,39,0,11.07
164,Tsiroanomandidy,MG,2019-11-08 20:22:44,-18.77,46.05,77.14,51,100,3.98
